threshold,tn,fp,fn,tp,accuracy,precision,recall,f1,specificity,false_positive_rate
0.1,86,287,3,24,0.275,0.07717041800643087,0.8888888888888888,0.14201183431952663,0.23056300268096513,0.7694369973190348
0.15000000000000002,122,251,4,23,0.3625,0.08394160583941605,0.8518518518518519,0.15282392026578073,0.32707774798927614,0.6729222520107239
0.20000000000000004,154,219,4,23,0.4425,0.09504132231404959,0.8518518518518519,0.17100371747211895,0.4128686327077748,0.5871313672922251
0.25000000000000006,177,196,4,23,0.5,0.1050228310502283,0.8518518518518519,0.18699186991869918,0.4745308310991957,0.5254691689008043
0.30000000000000004,197,176,7,20,0.5425,0.10204081632653061,0.7407407407407407,0.17937219730941703,0.5281501340482574,0.4718498659517426
0.3500000000000001,221,152,7,20,0.6025,0.11627906976744186,0.7407407407407407,0.20100502512562815,0.5924932975871313,0.4075067024128686
0.40000000000000013,241,132,7,20,0.6525,0.13157894736842105,0.7407407407407407,0.22346368715083798,0.646112600536193,0.353887399463807
0.4500000000000001,264,109,7,20,0.71,0.15503875968992248,0.7407407407407407,0.2564102564102564,0.707774798927614,0.29222520107238603
0.5000000000000001,284,89,8,19,0.7575,0.17592592592592593,0.7037037037037037,0.2814814814814815,0.7613941018766756,0.2386058981233244
0.5500000000000002,295,78,10,17,0.78,0.17894736842105263,0.6296296296296297,0.2786885245901639,0.7908847184986595,0.20911528150134048
0.6000000000000002,310,63,12,15,0.8125,0.19230769230769232,0.5555555555555556,0.2857142857142857,0.8310991957104558,0.16890080428954424
0.6500000000000001,325,48,13,14,0.8475,0.22580645161290322,0.5185185185185185,0.3146067415730337,0.871313672922252,0.128686327077748
0.7000000000000002,334,39,15,12,0.865,0.23529411764705882,0.4444444444444444,0.3076923076923077,0.8954423592493298,0.10455764075067024
0.7500000000000002,349,24,16,11,0.9,0.3142857142857143,0.4074074074074074,0.3548387096774194,0.935656836461126,0.064343163538874
0.8000000000000003,358,15,18,9,0.9175,0.375,0.3333333333333333,0.35294117647058826,0.9597855227882037,0.040214477211796246
0.8500000000000003,363,10,22,5,0.92,0.3333333333333333,0.18518518518518517,0.23809523809523808,0.9731903485254692,0.02680965147453083
0.9000000000000002,369,4,22,5,0.935,0.5555555555555556,0.18518518518518517,0.2777777777777778,0.9892761394101877,0.010723860589812333
