transaction_id,customer_age,account_age_days,transaction_amount,hour_of_day,day_of_week,merchant_category,transaction_type,channel,international,country_match,device_trusted,previous_failed_attempts,transactions_last_24h,avg_amount_30d,amount_to_avg_ratio,distance_from_home_km,card_present,is_fraud
TXN000001,43,565,8.75,23,Saturday,grocery,purchase,mobile_app,0,1,0,1,9,8.0,1.0938,29.4,0,0
TXN000002,25,1085,15.65,7,Monday,electronics,transfer,web,0,1,1,0,2,62.96,0.2485,35.13,0,0
TXN000003,49,748,21.09,8,Thursday,healthcare,purchase,mobile_app,0,1,1,0,7,20.65,1.0216,14.79,0,0
TXN000004,51,1723,8.2,0,Friday,grocery,bill_payment,atm,0,1,1,0,3,15.28,0.537,46.85,1,0
TXN000005,18,265,30.88,5,Saturday,electronics,transfer,pos,0,1,1,1,3,37.13,0.8318,24.01,1,0
TXN000006,22,1255,16.16,5,Thursday,healthcare,bill_payment,mobile_app,0,1,1,0,6,57.16,0.2827,16.43,0,0
TXN000007,41,899,16.61,18,Tuesday,healthcare,transfer,mobile_app,0,1,1,0,10,13.05,1.2732,29.79,0,0
TXN000008,35,473,19.8,8,Thursday,electronics,purchase,mobile_app,0,1,0,0,7,70.62,0.2804,48.15,0,0
TXN000009,39,1116,77.97,4,Tuesday,digital_goods,purchase,mobile_app,0,1,1,0,6,73.67,1.0584,15.78,0,0
TXN000010,28,422,17.3,7,Thursday,grocery,purchase,pos,0,1,0,0,5,43.98,0.3933,107.69,1,0
TXN000011,50,762,11.75,13,Thursday,fashion,transfer,atm,0,1,0,0,9,22.77,0.516,4.62,1,1
TXN000012,49,211,45.89,18,Saturday,grocery,purchase,pos,0,1,1,0,3,21.01,2.1845,33.23,1,0
TXN000013,40,39,129.28,23,Tuesday,restaurant,transfer,pos,0,1,0,1,8,89.0,1.4525,9.92,1,0
TXN000014,54,553,31.17,1,Tuesday,electronics,purchase,mobile_app,0,1,1,0,2,14.32,2.1759,24.5,0,0
TXN000015,45,546,267.58,20,Thursday,fashion,purchase,atm,0,1,1,0,6,91.51,2.9241,39.49,1,0
TXN000016,28,591,20.59,9,Monday,grocery,purchase,web,0,1,1,0,6,37.75,0.5453,233.97,0,0
TXN000017,44,1318,111.08,19,Tuesday,restaurant,cash_withdrawal,web,0,1,1,0,8,39.69,2.799,2.47,0,0
TXN000018,27,1542,4.12,0,Wednesday,fashion,purchase,mobile_app,0,1,1,0,8,12.43,0.3312,7.01,0,0
TXN000019,50,988,62.27,15,Thursday,grocery,purchase,mobile_app,1,0,1,0,6,38.26,1.6277,219.81,1,0
TXN000020,38,1256,44.11,22,Tuesday,digital_goods,purchase,atm,0,1,1,0,8,66.14,0.6668,49.05,0,0
TXN000021,37,432,7.91,0,Friday,travel,purchase,atm,0,1,1,0,4,16.24,0.4868,14.06,1,0
TXN000022,30,348,90.15,18,Sunday,grocery,bill_payment,mobile_app,0,1,1,0,4,60.89,1.4806,6.45,0,0
TXN000023,55,1132,85.15,2,Thursday,electronics,purchase,mobile_app,0,1,1,1,3,45.34,1.8783,35.47,0,0
TXN000024,37,307,49.18,23,Wednesday,travel,purchase,web,0,1,0,1,4,26.75,1.8386,11.65,0,0
TXN000025,33,276,87.36,17,Monday,grocery,purchase,atm,0,1,1,0,7,78.68,1.1104,61.74,1,0
TXN000026,34,3923,9.11,21,Monday,restaurant,purchase,web,1,0,1,0,6,8.71,1.046,104.71,0,0
TXN000027,46,834,75.86,21,Friday,fuel,purchase,mobile_app,1,1,0,0,3,54.58,1.3901,177.66,0,0
TXN000028,44,546,161.53,7,Friday,restaurant,purchase,mobile_app,0,1,1,1,6,136.45,1.1838,55.85,1,0
TXN000029,44,498,168.43,9,Monday,restaurant,purchase,pos,0,1,1,0,4,119.91,1.4046,90.13,0,0
TXN000030,45,217,62.03,16,Tuesday,fashion,purchase,pos,0,1,1,0,3,56.3,1.1017,8.07,1,0
TXN000031,67,973,59.72,4,Wednesday,electronics,purchase,mobile_app,0,1,0,0,3,34.22,1.7451,17.01,0,0
TXN000032,34,634,7.93,7,Wednesday,fuel,transfer,web,0,1,1,1,5,26.9,0.2948,61.7,1,0
TXN000033,32,1513,29.59,2,Sunday,digital_goods,purchase,web,0,1,1,0,7,34.19,0.8654,23.39,0,0
TXN000034,28,1156,22.09,21,Tuesday,electronics,cash_withdrawal,atm,0,1,1,1,4,62.9,0.3512,13.16,1,0
TXN000035,47,617,27.61,5,Monday,fuel,purchase,mobile_app,0,1,1,0,8,23.78,1.1609,21.09,0,0
TXN000036,54,111,227.59,9,Wednesday,healthcare,transfer,atm,0,1,1,0,5,73.36,3.1024,84.62,1,0
TXN000037,38,836,133.56,10,Monday,restaurant,purchase,pos,0,1,1,1,4,197.53,0.6761,22.06,1,0
TXN000038,28,782,42.4,9,Monday,healthcare,transfer,mobile_app,0,1,0,0,3,40.67,1.0425,38.16,0,0
TXN000039,28,85,26.49,18,Wednesday,electronics,transfer,mobile_app,0,1,0,0,9,16.15,1.64,16.58,0,0
TXN000040,47,1066,3.47,21,Wednesday,restaurant,bill_payment,mobile_app,0,1,1,0,4,16.15,0.2146,3.62,0,0
TXN000041,49,297,48.58,13,Monday,electronics,transfer,mobile_app,0,1,1,1,3,74.38,0.6532,47.86,0,0
TXN000042,46,1565,50.37,20,Friday,grocery,purchase,pos,0,1,0,1,5,40.73,1.2367,16.56,1,0
TXN000043,30,747,9.44,2,Thursday,healthcare,bill_payment,pos,0,1,1,0,3,79.94,0.1181,52.33,1,0
TXN000044,42,486,13.63,23,Monday,electronics,transfer,mobile_app,0,1,1,0,6,28.96,0.4708,36.76,0,0
TXN000045,41,922,162.5,2,Saturday,healthcare,purchase,pos,0,1,1,0,2,77.33,2.1014,29.65,1,0
TXN000046,42,882,74.31,1,Wednesday,fuel,purchase,mobile_app,0,1,1,0,2,37.94,1.9585,65.31,0,0
TXN000047,50,859,31.25,0,Sunday,digital_goods,bill_payment,web,0,1,1,1,4,25.09,1.2455,16.62,0,0
TXN000048,42,1430,57.19,5,Sunday,healthcare,purchase,atm,0,1,1,0,7,31.86,1.7953,46.98,1,0
TXN000049,48,963,19.95,20,Thursday,restaurant,transfer,mobile_app,0,1,1,0,7,17.96,1.1106,22.24,0,0
TXN000050,40,452,252.71,7,Tuesday,healthcare,purchase,web,0,1,1,0,4,178.1,1.4189,15.36,0,0
TXN000051,43,649,30.06,18,Saturday,fashion,cash_withdrawal,atm,0,1,1,0,9,39.67,0.7578,33.83,1,0
TXN000052,47,1939,69.93,10,Wednesday,restaurant,purchase,mobile_app,0,1,0,0,9,67.63,1.0339,13.56,0,0
TXN000053,20,419,17.43,2,Tuesday,fuel,cash_withdrawal,pos,0,1,1,1,8,28.89,0.6033,17.33,1,0
TXN000054,35,1054,47.1,11,Thursday,grocery,purchase,mobile_app,0,1,1,0,3,19.94,2.3625,26.08,0,0
TXN000055,33,1465,102.22,5,Thursday,grocery,transfer,mobile_app,0,1,1,0,2,35.93,2.8449,62.62,1,0
TXN000056,31,1125,241.39,6,Saturday,electronics,purchase,pos,0,1,1,0,5,93.96,2.5691,6.76,1,0
TXN000057,35,840,20.72,12,Saturday,restaurant,purchase,web,0,1,1,1,10,29.23,0.709,14.66,0,0
TXN000058,58,935,10.88,18,Sunday,electronics,purchase,web,0,1,1,1,9,22.72,0.4787,40.67,0,0
TXN000059,28,1174,113.45,14,Saturday,restaurant,purchase,mobile_app,0,1,1,0,3,47.56,2.3855,12.67,0,0
TXN000060,52,414,85.7,5,Friday,fuel,bill_payment,mobile_app,0,1,1,0,5,60.9,1.4072,14.33,0,0
TXN000061,18,786,167.24,17,Thursday,fuel,purchase,mobile_app,0,1,1,0,6,138.77,1.2051,21.41,0,0
TXN000062,35,2922,33.07,16,Sunday,digital_goods,purchase,web,1,0,1,1,3,54.86,0.6028,136.31,0,0
TXN000063,41,1077,87.37,5,Sunday,healthcare,transfer,web,0,1,1,0,6,67.6,1.2924,29.03,0,0
TXN000064,47,861,31.08,20,Saturday,digital_goods,purchase,web,1,1,1,0,8,71.37,0.4354,248.87,0,0
TXN000065,48,600,27.84,20,Saturday,fuel,purchase,pos,1,0,1,0,8,18.54,1.5016,80.05,1,0
TXN000066,49,418,54.55,14,Friday,electronics,cash_withdrawal,pos,0,1,1,1,7,21.25,2.5672,29.46,1,0
TXN000067,34,957,59.98,7,Tuesday,healthcare,purchase,mobile_app,0,1,1,1,5,19.48,3.0782,22.2,0,0
TXN000068,33,1005,25.82,8,Sunday,grocery,transfer,pos,0,1,1,1,4,16.29,1.5843,32.53,1,0
